Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
10/16/2020,8:00 AM,Nagaland,6017,22,7492
10/16/2020,8:00 AM,Ladakh,4310,65,5393
10/16/2020,8:00 AM,Manipur,11081,104,14378
10/16/2020,8:00 AM,Arunachal Pradesh,9889,30,12971
10/16/2020,8:00 AM,Kerala,222231,1089,317929
10/16/2020,8:00 AM,Meghalaya,5646,73,8164
10/17/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3109,2,3177
10/17/2020,8:00 AM,Mizoram,2133,0,2245
10/17/2020,8:00 AM,Andhra Pradesh,730109,6382,775470
10/17/2020,8:00 AM,Bihar,190425,981,202290
10/17/2020,8:00 AM,Andaman and Nicobar Islands,3831,56,4072
10/17/2020,8:00 AM,Tamil Nadu,627703,10529,679191
10/17/2020,8:00 AM,Jharkhand,88058,824,95425
10/17/2020,8:00 AM,Haryana,135858,1634,147933
10/17/2020,8:00 AM,Punjab,116165,3980,126737
10/17/2020,8:00 AM,Odisha,241385,1104,264149
10/17/2020,8:00 AM,Chandigarh,12352,206,13532
10/17/2020,8:00 AM,Delhi,295699,5946,324459
10/17/2020,8:00 AM,Uttar Pradesh,408083,6589,449935
10/17/2020,8:00 AM,Sikkim,3177,59,3531
10/17/2020,8:00 AM,Madhya Pradesh,141273,2735,157936
10/17/2020,8:00 AM,Telengana,196636,1265,220675
10/17/2020,8:00 AM,Goa,35610,531,40091
10/17/2020,8:00 AM,Tripura,26035,326,29327
10/17/2020,8:00 AM,Uttarakhand,50521,829,57042
10/17/2020,8:00 AM,Gujarat,139012,3617,157312
10/17/2020,8:00 AM,Jammu and Kashmir,76479,1366,86754
10/17/2020,8:00 AM,West Bengal,274757,5931,313188
10/17/2020,8:00 AM,Rajasthan,146185,1723,169289
10/17/2020,8:00 AM,Maharashtra,1344368,41502,1576062
10/17/2020,8:00 AM,Assam,170265,853,199749
10/17/2020,8:00 AM,Puducherry,27671,571,32766
10/17/2020,8:00 AM,Himachal Pradesh,15618,262,18522
10/17/2020,8:00 AM,Karnataka,628588,10356,751390
10/17/2020,8:00 AM,Ladakh,4461,65,5441
10/17/2020,8:00 AM,Chhattisgarh,126869,1425,155987
10/17/2020,8:00 AM,Nagaland,6111,22,7604
10/17/2020,8:00 AM,Arunachal Pradesh,10071,30,13169
10/17/2020,8:00 AM,Manipur,11245,109,14715
10/17/2020,8:00 AM,Kerala,228998,1113,325212
10/17/2020,8:00 AM,Meghalaya,5735,75,8303
10/18/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3119,2,3180
10/18/2020,8:00 AM,Mizoram,2145,0,2253
10/18/2020,8:00 AM,Andhra Pradesh,735638,6406,779146
10/18/2020,8:00 AM,Andaman and Nicobar Islands,3848,56,4083
10/18/2020,8:00 AM,Bihar,191619,990,203457
10/18/2020,8:00 AM,Tamil Nadu,632708,10586,683486
10/18/2020,8:00 AM,Jharkhand,88559,832,95967
10/18/2020,8:00 AM,Haryana,137176,1640,149081
10/18/2020,8:00 AM,Punjab,116925,3999,127154
10/18/2020,8:00 AM,Chandigarh,12460,207,13582
10/18/2020,8:00 AM,Odisha,244227,1121,266345
10/18/2020,8:00 AM,Delhi,298853,5981,327718
10/18/2020,8:00 AM,Uttar Pradesh,411611,6629,452660
10/18/2020,8:00 AM,Sikkim,3233,59,3567
10/18/2020,8:00 AM,Madhya Pradesh,142707,2753,159158
10/18/2020,8:00 AM,Telengana,198790,1271,222111
10/18/2020,8:00 AM,Goa,36035,538,40400
10/18/2020,8:00 AM,Tripura,26222,329,29468
10/18/2020,8:00 AM,Uttarakhand,51186,924,57648
10/18/2020,8:00 AM,Gujarat,140282,3626,158473
10/18/2020,8:00 AM,Jammu and Kashmir,77288,1372,87364
10/18/2020,8:00 AM,West Bengal,277940,5992,317053
10/18/2020,8:00 AM,Rajasthan,148291,1735,171281
10/18/2020,8:00 AM,Maharashtra,1358606,41965,1586321
10/18/2020,8:00 AM,Assam,171084,865,200391
10/18/2020,8:00 AM,Puducherry,27984,574,32978
10/18/2020,8:00 AM,Himachal Pradesh,15852,265,18797
